Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
1;Stage 4;OX4;5642;15;Whole Building;Residential (Multi);New Build (Greenfield);2;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Timber;Masonry Only;776263;1136232;1269140;1220792;137,6;201,4;224,9;216,4;105000;9,20%;2639542;212753;18,70%;21635;654510;57,60%;7617;16219;1,40%;6150;19091;1,70%;2450;3915;0,30%;45863;17598;1,50%;109390;107145;9,40%
2;Stage 3;BR3;31592;77;Whole Building;Residential (Multi);New Build (Brownfield);7;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;8429603;9825522;10342388;8873639;266,8;311;327,4;280,9;539000;5,50%;35718253;4858091;49,40%;12066;487292;5,00%;1836606;3910746;39,80%;5845;18144;0,20%;0;0;0,00%;34585;12250;0,10%;0;0;0,00%
3;As-Built;TW3;9862;24;Whole Building;Educational;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;3119642;3637755;3812153;3365251;316,3;368,9;386,5;341,2;168000;4,60%;13014984;1928667;53,00%;7160;298775;8,20%;541234;1152467;31,70%;0;0;0,00%;55614;88878;2,40%;1947;968;0,00%;0;0;0,00%
4;Stage 3;BR1;17240;40;Whole Building;Residential (Multi);New Build (Brownfield);8;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;5077415;5844220;6136749;5214343;294,5;339;356;302,5;280000;4,80%;20845880;2804041;48,00%;6170;211739;3,60%;1124431;2394288;41,00%;0;0;0,00%;93630;149631;2,60%;0;0;0,00%;6078;4521;0,10%
5;Stage 3;N15;2290;2;Whole Building;Residential (Multi);New Build (Greenfield);3;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Timber;Masonry Only;252796;328798;358757;343081;110,4;143,6;156,7;149,8;14000;4,30%;999470;160833;48,90%;4165;93293;28,40%;0;0;0,00%;0;0;0,00%;30082;48074;14,60%;25341;12597;3,80%;0;0;0,00%
6;Stage 3;BS16;1330;2,5;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Timber;Masonry Only;276743;395560;435199;421671;208,1;297,4;327,2;317;17500;4,40%;676453;93760;23,70%;4112;246468;62,30%;4662;9927;2,50%;0;0;0,00%;0;0;0,00%;29509;11959;3,00%;16280;15946;4,00%
7;As-Built;IP31;1050;4,2;Whole Building;Cultural/Public;New Build (Greenfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Masonry/Timber;Masonry Only;296431;392868;438216;419961;282,3;374,2;417,3;400;29400;7,50%;1734000;152248;38,80%;3789;151058;38,40%;5000;10647;2,70%;0;0;0,00%;25000;39953;10,20%;27000;9563;2,40%;0;0;0,00%
8;Stage 5;SK17;876;1,5;Whole Building;Commercial;Mixed New Build/Refurb;3;No;Partial Footprint;Mass Pads/Strips;Suspended RC;Steel Frame/Precast;Masonry Only;239946;295119;316945;285115;273,9;336,9;361,8;325,5;10500;3,60%;814220;97798;33,10%;3669;82180;27,80%;23639;50336;17,10%;0;0;0,00%;29421;47018;15,90%;14660;7287;2,50%;0;0;0,00%
9;As-Built;W7;1400;4,5;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Masonry/Concrete;Masonry Only;289488;378672;405200;385486;206,8;270,5;289,4;275,3;31500;8,30%;1175125;156266;41,30%;3395;137769;36,40%;24955;53138;14,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
10;As-Built;SN8;1534;9;Whole Building;Residential (Single);New Build (Greenfield);2;No;Partial Footprint;Raft;Suspended RC;Masonry/Concrete;Masonry/Stone;458585;603764;643842;580761;298,9;393,6;419,7;378,6;63000;10,40%;1849680;221934;36,80%;3056;141256;23,40%;70058;149177;24,70%;0;0;0,00%;12948;20692;3,40%;15500;7705;1,30%;0;0;0,00%
11;Stage 2;W6;1700;3;Whole Building;Residential (Multi);New Build (Brownfield);4;No;Full Footprint;Raft;Suspended RC;Masonry/Concrete;Masonry Only;510817;607903;639998;575344;300,5;357,6;376,5;338,4;21000;3,50%;1645549;295658;48,60%;2643;119513;19,70%;76745;163416;26,90%;0;0;0,00%;5204;8316;1,40%;0;0;0,00%;0;0;0,00%
12;As-Built;OX12;1975;12,3;Whole Building;Residential (Single);Mixed New Build/Refurb;3;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;838146;1028051;1107449;962694;424,4;520,5;560,7;487,4;86100;8,40%;4394975;467267;45,50%;2490;78249;7,60%;174037;370583;36,00%;0;0;0,00%;11147;17814;1,70%;16170;8038;0,80%;0;0;0,00%
13;Stage 4;CB2;300;3;Whole Building;Educational;New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Masonry/Timber;Masonry Only;171056;230019;244964;221828;570,2;766,7;816,5;739,4;21000;9,10%;356375;47759;20,80%;2470;97137;42,20%;25085;53414;23,20%;0;0;0,00%;1727;2760;1,20%;9320;4633;2,00%;3385;3316;1,40%
14;As-Built;SL6;648;6;Whole Building;Residential (Single);New Build (Brownfield);2;No;None;Piled Ground Beams;Suspended Precast;Masonry/Timber;Masonry/Stone;193785;280516;299575;269423;299,1;432,9;462,3;415,8;42000;15,00%;542248;62808;22,40%;2284;94921;33,80%;18447;39280;14,00%;7920;24585;8,80%;6250;9988;3,60%;13950;6935;2,50%;0;0;0,00%
15;Stage 5;E14;14029;55;Whole Building;Residential (Multi);New Build (Brownfield);24;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;4505097;5296060;5527011;4604344;321,1;377,5;394;328,2;385000;7,30%;16976246;2316267;43,70%;2225;107875;2,00%;1167933;2486918;47,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
16;As-Built;W1;7922;40;Whole Building;Commercial;New Build (Brownfield);7;No;Full Footprint;Raft;Suspended RC;Concrete (In-Situ);Masonry/Stone;2057079;2530339;2638266;2273561;259,7;319,4;333;287;280000;11,10%;7707360;1142140;45,10%;2160;109021;4,30%;450204;958634;37,90%;0;0;0,00%;24180;38642;1,50%;3825;1901;0,10%;0;0;0,00%
17;Stage 4;IG7;3400;20;Whole Building;Educational;New Build (Brownfield);1;No;None;Reinforced Pads/Strips;Suspended RC;Other;Masonry Only;828212;1075496;1147248;1015166;243,6;316,3;337,4;298,6;140000;13,00%;3546166;374071;34,80%;2110;118248;11,00%;103039;219404;20,40%;0;0;0,00%;123396;197201;18,30%;10689;5313;0,50%;29898;21258;2,00%
18;Stage 5;NW3;1024;2,5;Whole Building;Residential (Single);New Build (Brownfield);4;No;Full Footprint;Raft;Suspended RC;Masonry/Concrete;Masonry Only;486044;581974;615048;556359;474,7;568,3;600,6;543,3;17500;3,00%;1363512;195611;33,60%;1940;210008;36,10%;72100;153525;26,40%;0;0;0,00%;1638;2618;0,40%;5456;2712;0,50%;0;0;0,00%
19;As-Built;OX1;2400;7,3;Whole Building;Educational;New Build (Greenfield);3;No;None;Piled Ground Beams;Suspended RC;Masonry/Concrete;Masonry/SFS;387459;500672;532196;486714;161,4;208,6;221,7;202,8;51100;10,20%;1566650;213137;42,60%;1940;103961;20,80%;51331;109301;21,80%;0;0;0,00%;14500;23173;4,60%;0;0;0,00%;0;0;0,00%
20;Stage 2;W8;3381;55;Whole Building;Residential (Single);Full Refurb;5;No;Full Footprint;Piles (Pile Caps);Suspended RC;Masonry/Timber;Masonry/Stone;4090908;4852199;5034011;4155826;1210;1435,1;1488,9;1229,2;385000;7,90%;14626032;1922790;39,60%;1883;154047;3,20%;1096255;2334291;48,10%;0;0;0,00%;33111;52916;1,10%;1830;910;0,00%;2292;2245;0,00%
21;Stage 3;SE5;2450;6,5;Whole Building;Residential (Multi);New Build (Brownfield);4;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;671614;795920;846698;737678;274,1;324,9;345,6;301,1;45500;5,70%;2878644;385572;48,40%;1855;69702;8,80%;124660;265443;33,40%;312;969;0,10%;7020;11219;1,40%;28380;10052;1,30%;7620;7464;0,90%
22;As-Built;CB3;398;0,7;Whole Building;Residential (Multi);New Build (Greenfield);3;No;None;Piled Ground Beams;Other;Other;Masonry Only;95701;123003;131393;124375;240,5;309,1;330,1;312,5;4900;4,00%;174065;38421;31,20%;1854;59311;48,20%;5843;12442;10,10%;0;0;0,00%;4377;6995;5,70%;1063;376;0,30%;569;557;0,50%
23;Stage 2;TW13;678;1,4;Whole Building;Residential (Multi);New Build (Brownfield);2;No;None;Mass Pads/Strips;Other;Masonry/Timber;Masonry Only;99986;137562;154239;147040;147,5;202,9;227,5;216,9;9800;7,10%;542917;49469;36,00%;1822;53905;39,20%;1468;3126;2,30%;0;0;0,00%;8826;14105;10,30%;10686;3785;2,80%;3443;3373;2,50%
24;As-Built;SW19;950;3,1;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended RC;Masonry/Timber;Masonry Only;155108;207943;230465;201559;163,3;218,9;242,6;212,2;21700;10,40%;508856;54101;26,00%;1804;56692;27,30%;24334;51815;24,90%;2363;7335;3,50%;4000;6392;3,10%;13171;4665;2,20%;11027;5243;2,50%
25;Stage 5;OX1;904;7;Whole Building;Educational;New Build (Greenfield);1;No;None;Piled Ground Beams;Suspended Precast;Steel Frame/Other;Masonry/Stone;371085;467411;491625;444158;410,5;517;543,8;491,3;49000;10,50%;1440456;185092;39,60%;1787;74444;15,90%;11937;25418;5,40%;10816;33575;7,20%;54047;86373;18,50%;19275;9582;2,00%;5768;3927;0,80%
26;As-Built;NW8;1154;5;Whole Building;Residential (Single);New Build (Brownfield);4;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;581603;681169;714103;615938;504;590,3;618,8;533,7;35000;5,10%;2489513;333343;48,90%;1541;48427;7,10%;124030;264101;38,80%;0;0;0,00%;0;0;0,00%;840;298;0,00%;0;0;0,00%
27;Stage 4;TN31;1200;7;Whole Building;Cultural/Public;Mixed New Build/Refurb;2;No;None;Piles (Pile Caps);Ground Bearing RC;Masonry/Timber;Masonry Only;147630;220592;234619;206168;123;183,8;195,5;171,8;49000;22,20%;357001;46041;20,90%;1468;32885;14,90%;15783;33608;15,20%;3775;14755;6,70%;17824;28484;12,90%;7202;2551;1,20%;20764;13268;6,00%
28;As-Built;NW2;544;2;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended Precast;Masonry/Timber;Masonry Only;86529;121210;131072;110780;159,1;222,8;240,9;203,6;14000;11,60%;174600;17431;14,40%;1394;40307;33,30%;6746;14364;11,90%;9785;30375;25,10%;0;0;0,00%;9520;4732;3,90%;0;0;0,00%
29;Stage 5;OX3;662;4;Whole Building;Residential (Single);New Build (Brownfield);2;No;Full Footprint;Piles (Pile Caps);Suspended RC;Masonry/Timber;Other;296741;361597;383900;329985;448,2;546,2;579,9;498,5;28000;7,70%;1159200;155225;42,90%;1343;30082;8,30%;58860;125333;34,70%;0;0;0,00%;6594;10538;2,90%;14060;4980;1,40%;10000;7438;2,10%
30;As-Built;KT4;517;5,3;Whole Building;Residential (Multi);New Build (Greenfield);3;No;None;Mass Pads/Strips;Suspended Precast;Masonry/Concrete;Masonry Only;86160;140782;152469;146368;166,7;272,3;294,9;283,1;37100;26,40%;476316;44949;31,90%;1209;38017;27,00%;3835;8166;5,80%;0;0;0,00%;6708;10720;7,60%;3680;1829;1,30%;0;0;0,00%
31;Stage 2;TW13;421;0,8;Whole Building;Residential (Multi);New Build (Brownfield);2;No;None;Mass Pads/Strips;Other;Masonry/Timber;Masonry Only;74133;100496;113779;110488;176,1;238,7;270,3;262,4;5600;5,60%;570248;49265;49,00%;1189;35178;35,00%;932;1985;2,00%;96;298;0,30%;2256;3605;3,60%;6052;2927;2,90%;1673;1639;1,60%
32;Stage 4;CB22;579;1,8;Whole Building;Residential (Single);New Build (Brownfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Masonry/Timber;Masonry Only;120473;153851;166059;157976;208,1;265,7;286,8;272,8;12600;8,20%;566742;70892;46,10%;1180;40818;26,50%;3567;7595;4,90%;0;0;0,00%;12034;19232;12,50%;5460;2714;1,80%;0;0;0,00%
33;Stage 4;W6;325;2;Whole Building;Residential (Multi);New Build (Greenfield);4;No;Partial Footprint;Reinforced Pads/Strips;Timber;Steel Frame/Timber;Masonry Only;95977;127919;135837;121225;295,3;393,6;418;373;14000;10,90%;247690;33152;25,90%;1038;35367;27,60%;13626;29014;22,70%;0;0;0,00%;6780;10835;8,50%;3062;1522;1,20%;4113;4029;3,10%
34;As-Built;SW3;867;6;Whole Building;Residential (Single);New Build (Greenfield);4;No;Full Footprint;Raft;Suspended RC;Steel Frame/Other;Masonry Only;259893;333515;352655;308943;299,8;384,7;406,8;356,3;42000;12,60%;1080888;127221;38,10%;970;38181;11,40%;48853;104024;31,20%;0;0;0,00%;12628;20181;6,10%;3838;1908;0,60%;0;0;0,00%
35;Stage 5;CB3;590;4;Whole Building;Residential (Single);New Build (Brownfield);1;No;Full Footprint;Piles (Pile Caps);Suspended RC;Steel Frame/Timber;Masonry Only;305147;376248;400090;355703;517,2;637,7;678,1;602,9;28000;7,40%;1261571;160102;42,60%;968;47567;12,60%;44510;94777;25,20%;0;0;0,00%;10490;16764;4,50%;0;0;0,00%;34157;29039;7,70%
36;Stage 3;CM6;209;0,4;Whole Building;Residential (Single);New Build (Greenfield);2;No;None;Piled Ground Beams;Other;Masonry/Timber;Masonry Only;77866;96143;103214;94734;372,6;460;493,8;453,3;2800;2,90%;222597;28988;30,20%;835;40152;41,80%;7554;16086;16,70%;0;0;0,00%;924;1477;1,50%;6741;3228;3,40%;3484;3413;3,50%
37;Stage 3;SE17;1400;3;Whole Building;Mixed Use;New Build (Greenfield);4;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry Only;456914;524227;549537;461006;326,4;374,4;392,5;329,3;21000;4,00%;1676032;224502;42,80%;805;39557;7,50%;111720;237889;45,40%;0;0;0,00%;800;1278;0,20%;0;0;0,00%;0;0;0,00%
38;Stage 5;W3;360;0,9;Whole Building;Residential (Single);New Build (Brownfield);3;No;None;Piled Ground Beams;Suspended Precast;Masonry/Concrete;Masonry Only;88371;110736;117274;109662;245,5;307,6;325,8;304,6;6300;5,70%;249060;52549;47,50%;804;30614;27,60%;7102;15123;13,70%;0;0;0,00%;2369;3786;3,40%;1706;848;0,80%;1548;1516;1,40%
39;Stage 2;TW13;305;0,6;Whole Building;Residential (Single);New Build (Brownfield);3;No;None;Reinforced Pads/Strips;Other;Masonry/Concrete;Masonry Only;66250;84259;89386;80889;217,2;276,3;293,1;265,2;4200;5,00%;146206;36340;43,10%;745;22042;26,20%;6033;12847;15,20%;1541;4784;5,70%;1778;2842;3,40%;1264;448;0,50%;772;756;0,90%
40;As-Built;SL6;1100;2,4;Whole Building;Healthcare;New Build (Greenfield);2;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Timber;Masonry/SFS;228628;272513;290708;258486;207,8;247,7;264,3;235;16800;6,20%;842113;121690;44,70%;717;21212;7,80%;18115;38573;14,20%;0;0;0,00%;40425;64604;23,70%;19380;9634;3,50%;0;0;0,00%
41;Stage 2;TW13;227;0,7;Whole Building;Residential (Single);New Build (Brownfield);2;No;None;Reinforced Pads/Strips;Other;Masonry/Concrete;Masonry Only;46294;62118;67498;64299;203,9;273,6;297,3;283,3;4900;7,90%;183040;29994;48,30%;596;17637;28,40%;719;1531;2,50%;216;671;1,10%;3862;6171;9,90%;1273;451;0,70%;778;762;1,20%
42;Stage 2;TW13;222;0,6;Whole Building;Residential (Single);New Build (Brownfield);2;No;None;Mass Pads/Strips;Other;Concrete (Precast);Masonry Only;45070;60398;66705;63907;203;272,1;300,5;287,9;4200;7,00%;253137;30396;50,30%;593;17552;29,10%;698;1486;2,50%;305;947;1,60%;2450;3915;6,50%;1978;725;1,20%;1202;1177;1,90%
43;Stage 4;OX3;353;1,4;Whole Building;Cultural/Public;Mixed New Build/Refurb;1;No;None;Reinforced Pads/Strips;Suspended Precast;Steel Frame/Timber;Masonry Only;63193;83633;90989;84469;179;236,9;257,8;239,3;9800;11,70%;324373;30632;36,60%;591;18510;22,10%;2759;5874;7,00%;0;0;0,00%;11237;17959;21,50%;2420;857;1,00%;0;0;0,00%
44;Stage 5;SE16;7284;8,5;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Mass Pads/Strips;Ground Bearing RC;Concrete (In-Situ);Masonry/SFS;1973563;2219310;2369117;1912370;270,9;304,7;325,2;262,5;59500;2,70%;8360159;909158;41,00%;539;27994;1,30%;535090;1139385;51,30%;24727;76758;3,50%;4077;6516;0,30%;0;0;0,00%;0;0;0,00%
45;Stage 4;PE29;5163;15;Whole Building;Healthcare;New Build (Brownfield);2;No;None;Reinforced Pads/Strips;Ground Bearing RC;Concrete (In-Situ);Lightweight Only;2743981;3080920;3200620;2573441;531,5;596,7;619,9;498,4;105000;3,40%;9241175;1230541;39,90%;534;16796;0,50%;767922;1635161;53,10%;978;3036;0,10%;56557;90385;2,90%;0;0;0,00%;0;0;0,00%
46;Stage 2;TW13;187;0,6;Whole Building;Residential (Single);New Build (Brownfield);2;No;None;Reinforced Pads/Strips;Other;Masonry/Concrete;Masonry Only;38228;51863;56948;55598;204,4;277,3;304,5;297,3;4200;8,10%;215430;30373;58,60%;492;14562;28,10%;484;1031;2,00%;0;0;0,00%;853;1364;2,60%;945;335;0,60%;0;0;0,00%
47;Stage 4;MK17;431;0,5;Whole Building;Residential (Single);New Build (Greenfield);2;No;None;Mass Pads/Strips;Suspended Precast;Steel Frame/Timber;Other;108264;128924;139233;130638;251,2;299,1;323;303,1;3500;2,70%;515885;70006;54,30%;467;19937;15,50%;391;833;0,60%;417;1294;1,00%;15700;25090;19,50%;4836;2074;1,60%;6319;6189;4,80%
48;As-Built;WD6;1900;6,3;Whole Building;Educational;New Build (Brownfield);4;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;711121;822034;862493;740578;374,3;432,6;453,9;389,8;44100;5,40%;3150000;420089;51,10%;460;21256;2,60%;147000;313012;38,10%;1000;3104;0,40%;12500;19976;2,40%;1000;497;0,10%;0;0;0,00%
49;Stage 3;IP13;291;0,6;Whole Building;Residential (Single);New Build (Greenfield);1;No;None;Piled Ground Beams;Suspended Precast;Other;Masonry Only;176324;205306;215997;187989;605,9;705,5;742,3;646;4200;2,00%;446924;73127;35,60%;456;49363;24,00%;31491;67055;32,70%;0;0;0,00%;5949;9507;4,60%;2185;774;0,40%;0;0;0,00%
50;Stage 3;NW6;4117;7;Structure Only;Residential (Multi);New Build (Brownfield);11;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1281970;1496774;1567063;1319568;311,4;363,6;380,6;320,5;98000;6,50%;5332925;714118;47,70%;421;17568;1,20%;313285;667088;44,60%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
